"@lat"	"@lon"	"name"	"type"
"45.4126227"	"6.1874910"	"Point de vue vers le Mont Blanc"	"viewpoint"
"47.8486434"	"6.9246642"	"Col des Perches"	"viewpoint"
"43.5539219"	"5.6038441"	"Château de Vauvenargues"	"castle"
"43.5539219"	"5.6038441"	"Château de Vauvenargues"	"attraction"
"43.0356467"	"6.0925603"	"Pointe des Chevaliers"	"viewpoint"
"42.4818294"	"8.8648230"	"Promontoire d'Arghjova"	"viewpoint"
"43.9527473"	"4.8063438"	"Musée du Petit Palais"	"museum"
"48.0944929"	"-4.4629023"	"Moulin de Keriolet"	"attraction"
"48.0650291"	"-4.6897535"	"Pointe de Castelmeur"	"viewpoint"
"49.4181625"	"1.9375206"	"Chêne Notre-Dame"	"monument"
"49.4181625"	"1.9375206"	"Chêne Notre-Dame"	"attraction"
"45.9728909"	"4.3308213"	"Barthélémy Thimonier"	"museum"
"49.4162751"	"1.9231921"	"Salle polyvalente"	"attraction"
"48.6469400"	"-2.4638765"	"Le Portuais"	"viewpoint"
"47.1748265"	"4.9552152"	"Château de Clos-Vougeot"	"castle"
"47.1748265"	"4.9552152"	"Château de Clos-Vougeot"	"attraction"
"42.5863884"	"2.3675700"	"Cova Bastera"	"attraction"
"46.9147266"	"6.4299472"	"Le Grand Taureau"	"viewpoint"
"50.0344347"	"2.2813213"	"Cité souterraine de Naours"	"museum"
"47.5876375"	"7.5892988"	"Dreiländereck"	"attraction"
"47.8370545"	"-3.3938862"	"Odyssaum"	"attraction"
"48.0351900"	"2.7933909"	"Maison de la forêt"	"museum"
"48.8551205"	"2.3589562"	"Maison Européenne de la Photographie"	"museum"
"48.8695018"	"2.3546892"	"Musée de l'Eventail"	"museum"
"44.8906371"	"0.9346532"	"Gouffre de Proumeyssac"	"attraction"
"48.8521855"	"2.3472903"	"Plus Vieil Arbre de Paris"	"attraction"
"42.4813065"	"1.9051542"	"Dolmen de Brangolí"	"archaeological_site"
"42.4813065"	"1.9051542"	"Dolmen de Brangolí"	"attraction"
"42.5831428"	"2.4178880"	"Tour de Cours"	"yes"
"42.5831428"	"2.4178880"	"Tour de Cours"	"attraction"
"47.2075490"	"2.7153094"	"La Belle Pierre"	"viewpoint"
"46.2480304"	"5.9581476"	"Tiocan"	"viewpoint"
"48.4380346"	"7.3987856"	"Porte Romaine"	"archaeological_site"
"48.4380346"	"7.3987856"	"Porte Romaine"	"attraction"
"49.7616776"	"0.3682550"	"Musée des Pêcheries"	"museum"
"47.7921037"	"-4.2923643"	"Site Pointe de Men Meur"	"viewpoint"
"47.7457898"	"7.3384212"	"Musée des Beaux-Arts"	"museum"
"43.7361735"	"-1.1684183"	"La Pierre de Tinon"	"boundary_stone"
"43.7361735"	"-1.1684183"	"La Pierre de Tinon"	"attraction"
"47.4689466"	"-0.5536400"	"Tour Saint-Aubin"	"attraction"
"47.8011918"	"-4.2645757"	"La Vierge"	"wayside_shrine"
"47.8011918"	"-4.2645757"	"La Vierge"	"attraction"
"45.7442509"	"4.2195524"	"Musée Dassier"	"museum"
"46.4218456"	"-0.8165242"	"Vue sur le Marais"	"viewpoint"
"45.0298867"	"3.5946502"	"Les Orgues de Prades"	"attraction"
"49.8661124"	"2.5171492"	"Franco Australian Museum"	"museum"
"47.7930794"	"-4.2834941"	"Haliotika"	"museum"
"47.3260105"	"-0.3361130"	"Pins Parasol"	"viewpoint"
"45.8840586"	"6.1264335"	"Belvédère de la Jeanne"	"viewpoint"
"47.7958744"	"-4.2453141"	"Menhir"	"attraction"
"44.0330170"	"5.9859493"	"Les Mées"	"viewpoint"
"45.2754218"	"6.0410586"	"Pincerie"	"viewpoint"
"45.2535089"	"4.6476947"	"Montmiandon"	"viewpoint"
"42.9542831"	"2.9761949"	"Chapelle Saint-Pancrace"	"attraction"
"45.7644654"	"6.0566975"	"Pont de l'Abîme"	"viewpoint"
"45.8757170"	"6.1348413"	"Croix de Chuguet"	"wayside_cross"
"45.8757170"	"6.1348413"	"Croix de Chuguet"	"viewpoint"
"47.0222889"	"4.8368201"	"Hôtel-Dieu"	"museum"
"47.0233479"	"4.8373060"	"Musée du vin"	"museum"
"47.1996524"	"-1.5745548"	"Pointe Ouest de l'Île de Nantes"	"viewpoint"
"47.2060317"	"-1.5640668"	"Galerie des Machines de l’île"	"attraction"
"47.2061287"	"-1.5645343"	"Voyage en Éléphant"	"attraction"
"48.6566467"	"2.4929611"	"La faisanderie"	"attraction"
"49.0299343"	"5.6477476"	"Panorama"	"viewpoint"
"43.4192781"	"2.6224616"	"Roc Suzadou"	"viewpoint"
